appeal_district,trial_district,offence,sentence,no_complainant,no_male_complainant,no_female_complainant,no_appealant,no_male_appealant,no_female_appealant,no_public_witness,no_eye_witness,no_defense_witness,scn_decision
North-West,North-West,Rape_sexual_abuse,Prison_term,1,0,1,1,1,0,4,1,0,Dismissed
South-East,South-East,Armed_robbery,Death,1,1,0,1,1,0,2,1,0,Dismissed
South-South,South-South,Damage_property,Prison_term_fine,1,1,0,10,10,0,4,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,2,0,2,1,1,0,2,0,0,Dismissed
South-West,,Armed_robbery,Death,1,1,0,1,4,0,0,0,0,Dismissed
South-West,,Unlawful_possession,,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Armed_robbery,Prison_term,1,1,0,1,1,0,2,0,0,Dismissed
South-West,,Human_rights_violation,,1,1,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Prison_term,1,0,1,1,1,0,2,5,3,Dismissed
FCT,,Trespassing,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Rape_sexual_abuse,Prison_term,1,1,0,1,1,0,0,0,0,Dismissed
South-South,North-Central,Unlawful_termination_appointment,,0,0,0,2,2,0,0,0,0,Dismissed
South-East,South-East,Others,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Law_of_tort,,1,1,0,1,1,0,0,0,0,Dismissed
South-East,,Libel,,1,0,0,1,1,0,4,0,2,Dismissed
South-South,,Court_order_violation,Payment_damages,0,0,0,1,0,1,0,0,0,Dismissed
South-East,,Law_of_tort,,1,1,0,1,1,0,0,0,0,Granted
North-West,,Murder_manslaughter,Death,1,1,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Unlawful_termination_appointment,,0,0,0,0,0,0,0,0,0,Dismissed
North-Central,North-East,Dispute,,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Trespassing,Payment_damages,0,0,0,1,0,1,0,0,0,Dismissed
South-South,South-South,Armed_robbery,,0,0,0,0,0,0,7,0,0,Dismissed
North-West,North-West,Murder_manslaughter,Death,0,0,0,1,1,0,5,0,0,Dismissed
FCT,North-Central,Election_petition,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
FCT,,Rape_sexual_abuse,,0,0,0,3,3,0,0,0,0,Dismissed
North-West,,Unlawful_termination_appointment,,0,0,0,1,1,0,0,0,0,Dismissed
FCT,North-Central,Armed_robbery,Prison_term_fine,0,0,0,1,1,0,0,0,0,Dismissed
North-Central,,Conspiracy,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Armed_robbery,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-West,North-Central,Libel,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Fraud_impersonation,Prison_term,0,0,0,1,1,0,1,0,0,Dismissed
South-South,,Dispute,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
FCT,,Fraud_impersonation,,0,0,0,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Law_of_tort,,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Prison_term,0,0,0,1,1,0,1,0,0,Granted
South-West,,Fraud_impersonation,Payment_damages,0,0,0,2,0,0,0,0,0,Dismissed
South-West,,Murder_manslaughter,Death,0,0,0,3,3,0,0,0,0,Dismissed
South-West,,Dispute,Appeal_granted,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-West,Theft,Appeal_granted,0,0,0,1,1,0,0,0,4,Dismissed
FCT,North-Central,Others,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,North-Central,Election_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Election_petition,Payment_damages,0,0,0,3,3,0,0,0,0,Dismissed
North-West,North-West,Election_petition,Payment_damages,0,0,0,4,3,0,0,0,0,Granted
FCT,FCT,Election_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Dispute,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
North-Central,North-Central,Conspiracy,Prison_term,0,0,0,2,2,0,0,0,0,Dismissed
North-Central,North-Central,Law_of_tort,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Law_of_tort,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Others,Payment_damages,0,0,0,1,1,0,0,0,0,Granted
FCT,FCT,Election_petition,Appeal_granted,0,0,0,2,1,0,0,0,0,Granted
South-East,South-East,Claim_for_recovery,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Claim_for_recovery,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Claim_for_recovery,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-East,Theft,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-South,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Law_of_tort,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Trespassing,Payment_damages,0,0,0,1,1,0,0,0,0,Granted
North-West,North-West,Law_of_tort,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Election_petition,Payment_damages,0,0,0,2,0,0,0,0,0,Dismissed
North-West,North-West,Election_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
North-West,,Murder_manslaughter,Death,0,0,0,6,6,0,0,0,0,Dismissed
North-Central,North-Central,Unlawful_termination_appointment,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-East,,Court_order_violation,Payment_damages,0,0,0,5,5,0,0,0,0,Granted
South-South,,Others,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
FCT,North-Central,Theft,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Conspiracy,,0,0,0,1,1,0,5,0,0,Dismissed
FCT,,Conspiracy,Prison_term,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Armed_robbery,Prison_term,1,1,0,0,0,0,0,0,0,Dismissed
North-West,North-West,Theft,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
North-East,North-East,Murder_manslaughter,Death,0,0,0,1,1,0,1,0,1,Granted
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Theft,Payment_damages,0,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Armed_robbery,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Theft,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Prison_term,0,0,0,1,1,0,5,0,0,Dismissed
South-West,South-West,Claim_for_recovery,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
North-West,,Civil_petition,Payment_damages,0,0,0,0,1,0,0,0,0,Dismissed
South-West,South-West,Unlawful_possession,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Dispute,Appeal_granted,0,0,0,2,0,0,0,0,0,Granted
South-West,,Unlawful_possession,Appeal_granted,0,0,0,2,0,0,0,0,0,Granted
South-West,South-West,Unlawful_possession,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Others,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Civil_petition,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Civil_petition,Payment_damages,0,0,0,13,0,0,0,0,0,Dismissed
South-West,,Court_order_violation,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Murder_manslaughter,Death,0,0,0,1,1,0,5,0,0,Dismissed
South-West,,Others,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,4,0,0,Granted
South-West,,Election_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-East,South-West,Others,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Civil_petition,Appeal_granted,0,0,0,2,0,0,0,0,0,Granted
South-West,,Theft,Payment_damages,0,0,0,3,0,0,0,0,0,Dismissed
South-West,South-West,Theft,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Armed_robbery,Death,0,0,0,1,1,0,0,4,6,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,0,0,0,0,2,Dismissed
South-South,,Murder_manslaughter,Death,0,0,0,1,1,0,0,4,0,Dismissed
South-West,South-West,Unlawful_possession,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Unlawful_possession,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Theft,Payment_damages,0,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,2,0,0,Dismissed
South-West,South-West,Theft,Appeal_granted,0,0,0,0,1,0,0,0,0,Granted
South-West,South-West,Others,Payment_damages,0,0,0,3,0,0,0,0,0,Dismissed
South-West,South-West,Unlawful_termination_appointment,Appeal_granted,0,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Dispute,Payment_damages,0,0,0,1,0,0,0,0,0,Dismissed
South-South,South-West,Dispute,Payment_damages,0,0,0,3,0,0,0,0,0,Dismissed
South-West,,Others,Payment_damages,0,0,0,13,0,0,6,0,0,Dismissed
South-West,,Theft,Payment_damages,0,0,0,2,0,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Prison_term,0,0,0,1,0,1,1,0,0,Dismissed
South-West,South-West,Theft,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Dispute,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-West,Civil_petition,Payment_damages,0,0,0,4,0,0,0,0,0,Dismissed
South-West,South-West,Theft,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Theft,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-West,,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Unlawful_possession,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,0,0,0,0,0,0,5,0,0,Dismissed
South-West,,Theft,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Human_rights_violation,Payment_damages,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Election_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,Payment_damages,0,0,0,3,0,0,0,0,0,Dismissed
South-South,South-West,Civil_petition,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Dispute,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Prison_term,0,0,0,1,1,0,8,0,0,Granted
South-West,,Armed_robbery,Death,0,0,0,1,1,0,5,0,0,Dismissed
South-West,,Armed_robbery,Death,0,0,0,4,0,0,0,0,0,Dismissed
South-West,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Theft,Payment_damages,0,0,0,1,0,0,0,0,0,Dismissed
South-West,,Curroption_abuse_office,Payment_damages,0,0,0,1,0,0,0,0,0,Dismissed
South-West,,Murder_manslaughter,Prison_term_fine,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Civil_petition,Payment_damages,0,0,0,3,0,0,0,0,0,Dismissed
South-West,,Theft,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-East,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Theft,Appeal_granted,0,0,0,1,0,0,0,0,0,Granted
